사용일자,요일,노선명,역명,승차총승객수,하차총승객수,승하차총승객수,연월,월일,등록일자
2019-02-01,금,6호선,이태원,15786,21324,37110,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,한강진,9085,10665,19750,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,버티고개,2660,2486,5146,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,약수,4245,4396,8641,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,청구,4236,4612,8848,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,신당,9497,9832,19329,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,동묘앞,9584,9691,19275,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,창신,4044,3002,7046,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,보문,8365,7203,15568,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,안암,12077,11288,23365,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,고려대,9470,8584,18054,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,월곡,13365,12507,25872,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,상월곡,6797,5845,12642,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,돌곶이,9132,8422,17554,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,석계,14593,14404,28997,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,태릉입구,5977,6389,12366,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,화랑대,13598,10002,23600,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,봉화산,11571,10108,21679,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,장암,2348,795,3143,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,도봉산,9586,10971,20557,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,수락산,14391,13984,28375,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,마들,13827,12635,26462,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,노원,24475,26594,51069,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,중계,17415,15645,33060,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,하계,21332,19729,41061,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,공릉,13970,13086,27056,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,태릉입구,9172,8185,17357,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,먹골,12028,11390,23418,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,중화,12854,12223,25077,Feb-19,02월 01일,20190204
2019-02-01,금,경의선,상봉,19686,19138,38824,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,면목,17310,16574,33884,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,사가정,17837,17435,35272,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,용마산,7033,6270,13303,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,중곡,11616,10474,22090,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,군자,16904,12639,29543,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,어린이대공원,12585,11772,24357,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,건대입구,16925,18305,35230,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,뚝섬유원지,7798,7357,15155,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,청담,22733,26208,48941,Feb-19,02월 01일,20190204
2019-02-01,금,분당선,강남구청,17366,19395,36761,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,학동,24564,26928,51492,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,논현,22583,25327,47910,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,반포,7568,7207,14775,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,고속터미널,20685,21474,42159,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,내방,16438,16485,32923,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,이수,19218,18814,38032,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,남성,13274,11780,25054,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,숭실대입구,14495,13656,28151,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,상도,12400,11017,23417,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,장승배기,12460,11750,24210,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,신대방삼거리,19569,18173,37742,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,보라매,10898,10600,21498,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,신풍,12508,11709,24217,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,대림,11317,11970,23287,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,남구로,18862,19699,38561,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,가산디지털단지,49809,48899,98708,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,철산,27534,28693,56227,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,광명사거리,30300,29582,59882,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,천왕,10482,9480,19962,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,온수,11543,10697,22240,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,까치울,7968,7350,15318,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,부천종합운동장,5394,4298,9692,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,춘의,10342,10005,20347,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,신중동,16616,16656,33272,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,부천시청,14519,14914,29433,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,상동,15983,17239,33222,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,삼산체육관,5654,4947,10601,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,굴포천,10449,11039,21488,Feb-19,02월 01일,20190204
2019-02-01,금,7호선,부평구청,13353,10594,23947,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,암사,21533,18516,40049,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,천호,21123,24455,45578,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,강동구청,12504,12395,24899,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,몽촌토성,6789,7169,13958,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,잠실,17027,19741,36768,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,석촌,9259,10691,19950,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,송파,7377,7189,14566,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,가락시장,9675,11521,21196,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,문정,22165,22477,44642,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,장지,20998,20018,41016,Feb-19,02월 01일,20190204
2019-02-01,금,분당선,복정,12058,9815,21873,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,산성,6026,5629,11655,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,남한산성입구,14779,12848,27627,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,단대오거리,12123,11276,23399,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,신흥,5221,5608,10829,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,수진,6009,5367,11376,Feb-19,02월 01일,20190204
2019-02-01,금,분당선,모란,4657,3604,8261,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,개화,7629,5013,12642,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,김포공항,10201,13622,23823,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,공항시장,3279,3723,7002,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,신방화,8379,7963,16342,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,마곡나루,10195,9927,20122,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,양천향교,9514,9193,18707,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,가양,23435,21992,45427,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,증미,8377,8283,16660,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,등촌,11948,11835,23783,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,염창,18781,17651,36432,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,신목동,4404,3859,8263,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,선유도,8008,7626,15634,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,당산,21761,20300,42061,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,국회의사당,18476,17447,35923,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,여의도,26334,24426,50760,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,샛강,5650,5747,11397,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,노량진,32794,32942,65736,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,노들,5243,4308,9551,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,흑석,9863,9930,19793,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,동작,1973,1370,3343,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,구반포,3548,3677,7225,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,신반포,3262,3236,6498,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,고속터미널,13437,25250,38687,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,사평,3915,3720,7635,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,신논현,38196,39830,78026,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,서울역,12398,13242,25640,Feb-19,02월 01일,20190204
2019-02-01,금,경의선,공덕,2589,3251,5840,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,홍대입구,11102,11245,22347,Feb-19,02월 01일,20190204
2019-02-01,금,경의선,디지털미디어시티,14833,12249,27082,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,마곡나루,6330,4827,11157,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,김포공항,11290,7386,18676,Feb-19,02월 01일,20190204
2019-02-01,금,인천선,계양,11794,10782,22576,Feb-19,02월 01일,20190204
2019-02-01,금,인천2호선,검암,9388,8681,18069,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,청라국제도시,7027,6433,13460,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,운서,6984,7048,14032,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,공항화물청사,2721,3043,5764,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,인천공항1터미널,15790,16251,32041,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,인천공항2터미널,5919,5464,11383,Feb-19,02월 01일,20190204
2019-02-01,금,공항철도,영종,2521,2477,4998,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,언주,10551,9933,20484,Feb-19,02월 01일,20190204
2019-02-01,금,분당선,선정릉,9789,9982,19771,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,삼성중앙,6805,6618,13423,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,봉은사,17552,16909,34461,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,종합운동장,5086,4604,9690,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,삼전,5338,5033,10371,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,석촌고분,4662,4492,9154,Feb-19,02월 01일,20190204
2019-02-01,금,8호선,석촌,5914,4497,10411,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,송파나루,3479,3508,6987,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,한성백제,1979,1675,3654,Feb-19,02월 01일,20190204
2019-02-01,금,5호선,올림픽공원,8873,8551,17424,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,둔촌오륜,742,707,1449,Feb-19,02월 01일,20190204
2019-02-01,금,9호선,중앙보훈병원,6878,6075,12953,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,북한산우이,2437,1983,4420,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,솔밭공원,2436,2286,4722,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,4.19민주묘지,2692,2464,5156,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,가오리,4454,4252,8706,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,화계,3682,3330,7012,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,삼양,2270,2411,4681,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,삼양사거리,2599,2793,5392,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,솔샘,6117,5515,11632,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,북한산보국문,6392,5815,12207,Feb-19,02월 01일,20190204
2019-02-01,금,우이신설경전철,정릉,4677,4101,8778,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,성신여대입구,3966,4280,8246,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,보문,1768,1784,3552,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,신설동,2044,2231,4275,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,시청,27053,27537,54590,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,종각,51393,49478,100871,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,종로3가,37190,35826,73016,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,종로5가,30039,29635,59674,Feb-19,02월 01일,20190204
2019-02-01,금,4호선,동대문,14714,15360,30074,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,신설동,17908,16846,34754,Feb-19,02월 01일,20190204
2019-02-01,금,1호선,제기동,25304,26024,51328,Feb-19,02월 01일,20190204
2019-02-01,금,경의선,청량리,29934,31391,61325,Feb-19,02월 01일,20190204
2019-02-01,금,6호선,동묘앞,9757,10231,19988,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,시청,28666,27771,56437,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,을지로입구,55092,54574,109666,Feb-19,02월 01일,20190204
2019-02-01,금,3호선,을지로3가,25131,25216,50347,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,을지로4가,13262,13398,26660,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,동대문역사문화공원,16892,19034,35926,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,신당,16805,17486,34291,Feb-19,02월 01일,20190204
2019-02-01,금,2호선,상왕십리,16304,15199,31503,Feb-19,02월 01일,20190204
